rot 6.28
tra 0.01
temperature 0.5
total steps 12000
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
0,-0.000459413,2.26523,0,45.1156,-3.61835e-05,45.776,0.128438,0,0,-0.000459413
1,-6.80485e-05,2.44764,0,57.2438,-6.40742e-06,45.776,0.128438,0,0,-6.80485e-05
2,-0.578333,1.34949,0,13.6246,-0.000613365,33.6539,0.329181,-0.0542371,0,-0.578333
3,-1.94164e-05,2.6351,0,68.0406,-4.6078e-06,45.776,0.128438,0,0,-1.94164e-05
4,-6.28497e-05,2.55338,0,54.4177,-3.01908e-06,45.776,0.128438,0,0,-6.28497e-05
5,-1.29519,1.11531,3.38225e-25,17.2579,0.000365133,40.1826,0.515969,-0.475049,0,-1.29519
6,-0.00110777,2.12498,0,34.9405,-1.10703e-06,45.776,0.128438,0,0,-0.00110777
7,-2.29267e-05,2.67549,0,63.3901,-1.6303e-06,45.776,0.128438,0,0,-2.29267e-05
8,-0.00049587,2.18138,0,41.8613,3.87767e-06,45.776,0.128438,0,0,-0.00049587
9,-0.000399725,2.13211,0,41.8993,-1.60816e-06,45.776,0.128438,0,0,-0.000399725
10,-1.31267e-05,2.75761,0,70.2949,-6.06327e-07,45.776,0.128438,0,0,-1.31267e-05
11,-0.0181052,1.75312,0,24.6707,-0.000157623,44.9496,0.128256,-5.34675e-10,0,-0.0181052
12,-6.34398e-05,2.53012,0,54.0667,3.17273e-07,45.776,0.128438,0,0,-6.34398e-05
13,-1.31786,0.782706,4.74997e-09,9.67481,0.00758713,37.124,2.91856,-0.360436,0.392884,-1.31786
14,-4.25237e-05,2.54593,0,59.048,6.80756e-06,45.776,0.128438,0,0,-4.25237e-05
15,-7.54779e-05,2.52368,0,53.0192,-1.33541e-06,45.776,0.128438,0,0,-7.54779e-05
16,-2.79099e-05,2.62113,0,63.1516,-1.71037e-06,45.776,0.128438,0,0,-2.79099e-05
17,-0.000196035,2.35314,0,46.999,1.49774e-05,45.776,0.128438,0,0,-0.000196035
18,-1.30967,0.954929,3.7153e-07,11.4721,-0.000366766,41.6435,1.31277,-0.389213,-0.20851,-1.30967
19,-5.00604e-06,2.94125,0,82.7394,-7.40388e-07,45.776,0.128438,0,0,-5.00604e-06
20,-0.000256171,2.38879,0,45.1146,-2.06586e-06,45.776,0.128438,0,0,-0.000256171
21,-0.00247089,2.08225,0,39.0961,-2.22367e-05,45.776,0.128438,0,0,-0.00247089
22,-0.00239217,1.6178,0,20.0748,-4.77531e-05,45.776,0.128438,0,0,-0.00239217
23,-3.5503e-05,2.42816,0,48.9384,-1.86258e-05,45.776,0.128438,0,0,-3.5503e-05
24,-9.37046e-07,3.08279,0,99.0131,-8.57068e-06,45.776,0.128438,0,0,-9.37046e-07
25,-6.71954e-05,2.32244,0,43.5078,-1.50681e-05,45.776,0.128438,0,0,-6.71954e-05
26,-1.68245e-06,2.97483,0,87.7508,-7.86367e-06,45.776,0.128438,0,0,-1.68245e-06
27,-4.25028e-06,3.04332,0,91.9745,-3.41772e-06,45.776,0.128438,0,0,-4.25028e-06
28,-2.15543e-07,3.38664,0,130.519,-2.84161e-06,45.776,0.128438,0,0,-2.15543e-07
