rot 6.28
tra 0.005
temperature 0.5
total steps 12000
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
0,-1.02612e-05,2.77552,0,77.0265,2.77111e-06,45.776,0.128438,0,0,-1.02612e-05
1,-0.000188385,2.19803,0,43.5398,-3.92027e-05,45.776,0.128438,0,0,-0.000188385
2,-1.13973,1.36983,0,12.932,-7.62627e-05,43.4363,9.69575,-0.408992,-0.0352091,-1.13973
3,-1.837e-05,2.72251,0,66.0855,3.0739e-07,45.776,0.128438,0,0,-1.837e-05
4,-6.28168e-06,2.87684,0,78.4148,-1.35694e-06,45.776,0.128438,0,0,-6.28168e-06
5,-5.26129e-06,2.88463,0,80.9241,-2.03877e-06,45.776,0.128438,0,0,-5.26129e-06
6,-4.67607e-06,2.94364,0,82.5701,5.38164e-08,45.776,0.128438,0,0,-4.67607e-06
7,-2.58523e-08,3.74674,0,197.75,-1.21108e-07,45.776,0.128438,0,0,-2.58523e-08
8,-1.28105e-06,3.14695,0,103.309,-7.83667e-07,45.776,0.128438,0,0,-1.28105e-06
9,-6.68409e-08,3.59476,0,169.252,-2.75349e-07,45.776,0.128438,0,0,-6.68409e-08
10,-3.09931e-09,4.11718,0,279.54,-3.80866e-07,45.776,0.128438,0,0,-3.09931e-09
11,-1.77067e-09,4.20774,0,306.991,-3.23726e-07,45.776,0.128438,0,0,-1.77067e-09
12,-3.18539e-08,3.74298,0,189.284,-4.16647e-07,45.776,0.128438,0,0,-3.18539e-08
13,-4.01129e-07,3.33092,0,124.58,-6.98987e-07,45.776,0.128438,0,0,-4.01129e-07
14,-0.000740501,2.25944,0,39.2096,-1.59698e-06,45.776,0.128438,0,0,-0.000740501
15,-1.3331e-05,2.6683,0,69.1518,-1.1769e-06,45.776,0.128438,0,0,-1.3331e-05
16,-1.48131,1.52225,0,18.9902,-1.72626e-06,42.4539,0.24944,-0.520469,0,-1.48131
17,-0.000597253,2.019,0,38.1888,-2.04175e-06,45.776,0.128438,0,0,-0.000597253
18,-0.00338794,1.47451,0,21.0045,-3.77025e-06,45.776,0.128438,0,0,-0.00338794
19,-9.20792e-05,2.42683,0,48.9296,-1.48808e-06,45.776,0.128438,0,0,-9.20792e-05
