rot 6.28
tra 0.5
temperature 0.5
total steps 12000
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
0,-0.00103062,2.21362,0,39.1849,-8.65704e-06,45.776,0.128438,0,0,-0.00103062
1,-5.66793e-06,2.86211,0,83.7491,3.11066e-06,45.776,0.128438,0,0,-5.66793e-06
2,-4.03636e-05,2.50291,0,57.497,-3.1812e-05,45.776,0.128438,0,0,-4.03636e-05
3,-1.73809,1.35473,0,17.7841,0.000561659,37.0232,7.85162,-0.146799,0,-1.73809
4,-0.00197983,2.02928,0,33.2438,8.56668e-06,45.776,0.128438,0,0,-0.00197983
5,-1.23135e-05,2.75015,0,72.8148,2.18354e-06,45.776,0.128438,0,0,-1.23135e-05
6,-5.76769e-05,2.44441,0,54.8898,7.42571e-06,45.776,0.128438,0,0,-5.76769e-05
7,-1.16392e-05,2.74077,0,72.0239,4.13023e-06,45.776,0.128438,0,0,-1.16392e-05
8,-1.52011,1.37999,1.58042e-27,17.453,-0.00052314,44.3886,1.93547,-0.573755,-0.0401211,-1.52011
9,-5.5687e-05,2.54991,0,54.7376,1.96261e-06,45.776,0.128438,0,0,-5.5687e-05
10,-5.2616e-07,3.24957,0,122.245,-2.22439e-07,45.776,0.128438,0,0,-5.2616e-07
11,-2.4414e-06,2.98912,0,94.5866,-5.75747e-07,45.776,0.128438,0,0,-2.4414e-06
12,-0.00426998,1.89885,0,33.8839,9.4464e-05,45.7637,0.128438,-3.26823e-28,0,-0.00426998
13,-0.000794543,2.07878,0,40.4678,-1.51391e-06,45.776,0.128438,0,0,-0.000794543
14,-0.00219695,1.63609,0,24.2729,7.07346e-05,45.776,0.128438,0,0,-0.00219695
15,-9.1066e-06,2.83215,0,73.2209,-2.04573e-07,45.776,0.128438,0,0,-9.1066e-06
16,-1.14089e-06,3.13611,0,103.788,-6.9168e-07,45.776,0.128438,0,0,-1.14089e-06
17,-3.05167e-07,3.3435,0,132.548,-6.06921e-07,45.776,0.128438,0,0,-3.05167e-07
18,-2.04608e-08,3.80321,0,204.415,-3.91353e-07,45.776,0.128438,0,0,-2.04608e-08
19,-1.13135e-07,3.5283,0,154.192,-5.17284e-07,45.776,0.128438,0,0,-1.13135e-07
20,-8.09554e-08,3.58611,0,162.347,-4.81346e-07,45.776,0.128438,0,0,-8.09554e-08
21,-2.20651e-07,3.39778,0,140.522,-5.80362e-07,45.776,0.128438,0,0,-2.20651e-07
22,-7.93964e-07,3.23216,0,111.567,-6.72319e-07,45.776,0.128438,0,0,-7.93964e-07
23,-0.0022308,1.99977,0,30.3475,-2.62252e-06,45.776,0.128438,0,0,-0.0022308
24,-2.2372e-05,2.59643,0,61.8417,-1.36298e-06,45.776,0.128438,0,0,-2.2372e-05
25,-0.000229777,2.32733,0,44.2785,-1.8358e-06,45.776,0.128438,0,0,-0.000229777
26,-2.90707e-07,3.395,0,131.882,-5.75425e-07,45.776,0.128438,0,0,-2.90707e-07
27,-4.57042e-09,4.03897,0,263.909,-3.00295e-07,45.776,0.128438,0,0,-4.57042e-09
28,-2.85289e-10,4.51947,0,415.276,-1.88513e-07,45.776,0.128438,0,0,-2.85289e-10
29,-3.9615e-11,4.8346,0,579.565,-1.34985e-07,45.776,0.128438,0,0,-3.9615e-11
