rot 6.28
tra 0.1
temperature 0.5
total steps 12000
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
0,-4.52816e-05,2.666,0,61.2874,6.67489e-06,45.776,0.128438,0,0,-4.52816e-05
1,-3.00664e-06,2.97446,0,89.2194,-2.39076e-06,45.776,0.128438,0,0,-3.00664e-06
2,-3.17116e-07,3.37762,0,129.406,3.70232e-07,45.776,0.128438,0,0,-3.17116e-07
3,-1.58736e-09,4.21663,0,314.246,8.88121e-08,45.776,0.128438,0,0,-1.58736e-09
4,-8.09058e-11,4.71547,0,514.589,8.36714e-08,45.776,0.128438,0,0,-8.09058e-11
5,-3.90635e-12,5.22281,0,851.801,6.18296e-08,45.776,0.128438,0,0,-3.90635e-12
6,-9.88268e-10,4.2958,0,339.752,1.64704e-07,45.776,0.128438,0,0,-9.88268e-10
7,-7.13149e-05,2.52829,0,53.5347,9.23163e-07,45.776,0.128438,0,0,-7.13149e-05
8,-0.000720782,1.994,0,32.2829,-2.20011e-06,45.776,0.128438,0,0,-0.000720782
9,-9.77655e-05,2.18763,0,39.0923,-1.92591e-06,45.776,0.128438,0,0,-9.77655e-05
10,-3.15365e-05,2.67155,0,63.9656,-1.26835e-06,45.776,0.128438,0,0,-3.15365e-05
11,-1.36804e-07,3.48107,0,148.926,-5.38578e-07,45.776,0.128438,0,0,-1.36804e-07
12,-0.0189384,0.962227,0,11.773,-5.14529e-06,45.741,0.128438,-5.40692e-23,0,-0.0189384
13,-1.16357e-05,2.72504,0,73.9904,-1.14968e-06,45.776,0.128438,0,0,-1.16357e-05
14,-0.0606995,1.66724,0,25.4978,-4.53122e-06,37.0276,0.127796,-4.3165e-07,0,-0.0606995
15,-1.8054e-05,2.75503,0,67.6305,-1.10624e-06,45.776,0.128438,0,0,-1.8054e-05
16,-0.00106979,1.91872,0,34.8666,-2.51751e-06,45.776,0.128438,0,0,-0.00106979
17,-0.00151179,1.68958,0,21.7451,-3.13147e-06,45.776,0.128438,0,0,-0.00151179
18,-1.37902e-06,3.07943,0,103.58,-7.79411e-07,45.776,0.128438,0,0,-1.37902e-06
19,-0.000799951,1.72906,0,25.842,-2.80081e-06,45.776,0.128438,0,0,-0.000799951
20,-7.84718e-05,2.64401,0,62.4479,-1.10332e-06,45.776,0.128438,0,0,-7.84718e-05
21,-5.0858e-05,2.69006,0,64.4862,-1.13824e-06,45.776,0.128438,0,0,-5.0858e-05
22,-2.21026e-06,3.10154,0,99.4601,-7.46811e-07,45.776,0.128438,0,0,-2.21026e-06
23,-4.03671e-08,3.69383,0,179.439,-4.33685e-07,45.776,0.128438,0,0,-4.03671e-08
24,-3.65022e-10,4.47624,0,397.559,-1.97029e-07,45.776,0.128438,0,0,-3.65022e-10
25,-5.52636e-10,4.41385,0,373.245,-2.08466e-07,45.776,0.128438,0,0,-5.52636e-10
26,-2.31577e-07,3.40996,0,138.915,-5.78438e-07,45.776,0.128438,0,0,-2.31577e-07
27,-9.89902e-07,3.12728,0,106.476,-7.63638e-07,45.776,0.128438,0,0,-9.89902e-07
28,-2.70552e-05,2.52056,0,56.844,-1.47798e-06,45.776,0.128438,0,0,-2.70552e-05
29,-9.73502e-06,2.8115,0,71.6947,-1.0529e-06,45.776,0.128438,0,0,-9.73502e-06
30,-2.15373e-05,2.63661,0,68.0942,-1.22698e-06,45.776,0.128438,0,0,-2.15373e-05
31,-0.060066,1.3265,0,14.0067,-5.38808e-06,40.1739,0.128437,-1.18823e-08,0,-0.060066
32,-3.67617e-05,2.48142,0,58.4744,-1.40342e-06,45.776,0.128438,0,0,-3.67617e-05
33,-8.91589e-05,2.41334,0,52.4135,-1.68278e-06,45.776,0.128438,0,0,-8.91589e-05
34,-0.0870725,1.67374,0,27.3756,-2.92558e-06,43.2655,0.124523,-6.44873e-05,0,-0.0870725
35,-0.00265407,1.87552,0,33.7946,-2.48028e-06,45.776,0.128438,-4.10217e-33,0,-0.00265407
