rot 6.28
tra 0.001
temperature 0.5
total steps 12000
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
0,-1.57129e-05,2.74837,0,69.1479,-1.33945e-05,45.776,0.128438,0,0,-1.57129e-05
1,-0.000150574,2.41746,0,47.6576,-7.67996e-06,45.776,0.128438,0,0,-0.000150574
2,-0.0001513,2.27673,0,47.5889,1.32172e-06,45.776,0.128438,0,0,-0.0001513
3,-1.11256e-05,2.76451,0,74.5359,-2.36432e-05,45.776,0.128438,0,0,-1.11256e-05
4,-6.28594e-05,2.46792,0,58.0438,-7.54976e-07,45.776,0.128438,0,0,-6.28594e-05
5,-6.17996e-06,2.85951,0,80.5557,-2.09018e-05,45.776,0.128438,0,0,-6.17996e-06
6,-9.72889e-06,2.76181,0,76.0811,3.6205e-06,45.776,0.128438,0,0,-9.72889e-06
7,-1.95126e-05,2.65825,0,68.4773,-2.62195e-06,45.776,0.128438,0,0,-1.95126e-05
8,-6.39252e-06,2.85917,0,80.2865,-1.70686e-05,45.776,0.128438,0,0,-6.39252e-06
9,-5.97013e-05,2.50887,0,59.964,-5.22752e-05,45.776,0.128438,0,0,-5.97013e-05
10,-0.00398612,2.02036,0,38.1113,-8.65445e-06,45.776,0.128438,-4.96518e-34,0,-0.00398612
11,-0.317705,1.36045,0,19.9243,5.94629e-07,42.9597,0.173664,-0.00752758,0,-0.317705
12,-1.07276e-05,2.77205,0,72.9911,-4.09879e-06,45.776,0.128438,0,0,-1.07276e-05
13,-0.00034063,2.13607,0,42.0585,-1.1804e-05,45.776,0.128438,0,0,-0.00034063
14,-1.00025,1.39146,0,21.5613,4.95697e-05,44.1471,3.14545,-0.482979,0,-1.00025
15,-0.00128244,2.24092,0,38.2661,-5.11364e-06,45.776,0.128438,0,0,-0.00128244
16,-6.99523e-05,2.505,0,53.9328,-2.70781e-06,45.776,0.128438,0,0,-6.99523e-05
17,-1.83239e-06,3.10749,0,97.8349,-1.31081e-06,45.776,0.128438,0,0,-1.83239e-06
18,-1.38853e-05,2.69282,0,70.8397,-1.43433e-06,45.776,0.128438,0,0,-1.38853e-05
19,-0.105664,1.4983,0,18.0445,-6.10714e-06,42.3766,0.127623,-1.77871e-07,0,-0.105664
20,-1.15404e-06,3.14793,0,104.604,-8.11706e-07,45.776,0.128438,0,0,-1.15404e-06
21,-1.85786e-06,3.08644,0,96.6939,-7.75561e-07,45.776,0.128438,0,0,-1.85786e-06
22,-5.01367e-08,3.67226,0,175.626,-4.77449e-07,45.776,0.128438,0,0,-5.01367e-08
23,-3.96761e-09,4.06262,0,269.716,-3.22973e-07,45.776,0.128438,0,0,-3.96761e-09
24,-4.92758e-10,4.42818,0,379.105,-2.27459e-07,45.776,0.128438,0,0,-4.92758e-10
25,-7.06147e-08,3.61901,0,166.389,-4.89496e-07,45.776,0.128438,0,0,-7.06147e-08
26,-1.77522e-08,3.84217,0,208.704,-4.03842e-07,45.776,0.128438,0,0,-1.77522e-08
27,-4.3394e-09,4.04554,0,265.542,-3.25042e-07,45.776,0.128438,0,0,-4.3394e-09
28,-9.33719e-09,3.91797,0,234.319,-3.66689e-07,45.776,0.128438,0,0,-9.33719e-09
29,-1.02743e-08,3.92968,0,228.643,-3.68987e-07,45.776,0.128438,0,0,-1.02743e-08
30,-9.35042e-09,3.9433,0,231.479,-3.61051e-07,45.776,0.128438,0,0,-9.35042e-09
31,-1.89089e-09,4.18603,0,305.044,-2.78605e-07,45.776,0.128438,0,0,-1.89089e-09
32,-9.92684e-08,3.55616,0,155.894,-5.29548e-07,45.776,0.128438,0,0,-9.92684e-08
33,-5.95051e-09,3.99506,0,252.577,-3.33843e-07,45.776,0.128438,0,0,-5.95051e-09
34,-1.00169e-09,4.29391,0,339.015,-2.55837e-07,45.776,0.128438,0,0,-1.00169e-09
35,-1.28079e-06,3.11816,0,107.052,-8.20855e-07,45.776,0.128438,0,0,-1.28079e-06
36,-1.19573e-06,3.09995,0,105.743,-8.71358e-07,45.776,0.128438,0,0,-1.19573e-06
37,-0.000141109,2.38666,0,53.2214,-1.91021e-06,45.776,0.128438,0,0,-0.000141109
38,-0.694684,0.405162,1.09715e-05,8.81201,-8.001e-05,44.4606,3.09004,-0.123701,-0.312029,-0.694684
39,-0.000143407,2.42325,0,47.0832,-2.41585e-06,45.776,0.128438,0,0,-0.000143407
40,-0.000130992,2.316,0,45.4281,-1.80196e-06,45.776,0.128438,0,0,-0.000130992
41,-1.22525e-05,2.7502,0,71.4081,-1.18862e-06,45.776,0.128438,0,0,-1.22525e-05
42,-0.00958903,1.98992,0,31.0279,-4.68833e-06,45.7736,0.128438,-2.90456e-20,0,-0.00958903
43,-0.000265703,2.23387,0,46.807,-2.16525e-06,45.776,0.128438,0,0,-0.000265703
44,-1.36136,0.560709,1.42474e-17,6.73781,-2.50113e-05,44.5742,1.51394,-0.428512,0.789015,-1.36136
45,-1.14125e-05,2.73653,0,74.6999,-7.29371e-07,45.776,0.128438,0,0,-1.14125e-05
46,-3.71337e-05,2.65728,0,61.0367,-4.16626e-07,45.776,0.128438,0,0,-3.71337e-05
47,-0.41391,1.77953,0,22.7019,-1.25153e-06,41.9411,0.405299,-0.00191869,0,-0.41391
48,-8.53702e-05,2.43898,0,51.6859,-1.62876e-06,45.776,0.128438,0,0,-8.53702e-05
49,-0.00143375,1.6548,0,25.9071,-2.99773e-06,45.776,0.128438,0,0,-0.00143375
50,-2.98787e-05,2.59499,0,62.6702,-1.30644e-06,45.776,0.128438,0,0,-2.98787e-05
51,-2.45153e-06,3.0148,0,91.5902,-8.79237e-07,45.776,0.128438,0,0,-2.45153e-06
52,-6.16053e-07,3.26651,0,116.204,-6.44225e-07,45.776,0.128438,0,0,-6.16053e-07
53,-6.96261e-07,3.25744,0,114.429,-6.49455e-07,45.776,0.128438,0,0,-6.96261e-07
54,-1.05515e-07,3.51203,0,157.612,-4.9835e-07,45.776,0.128438,0,0,-1.05515e-07
55,-2.47248e-06,3.05482,0,92.5314,-8.08076e-07,45.776,0.128438,0,0,-2.47248e-06
56,-2.01113e-08,3.82171,0,204.381,-3.73165e-07,45.776,0.128438,0,0,-2.01113e-08
57,-2.89898e-08,3.72936,0,194.348,-4.11285e-07,45.776,0.128438,0,0,-2.89898e-08
58,-1.37104e-07,3.51013,0,149.002,-5.12091e-07,45.776,0.128438,0,0,-1.37104e-07
59,-0.0226356,1.99094,0,28.9408,-2.28649e-06,45.6619,0.128438,-2.57427e-20,0,-0.0226356
60,-1.38907e-06,3.08417,0,103.83,-7.77783e-07,45.776,0.128438,0,0,-1.38907e-06
61,-5.30836e-05,2.42562,0,55.6614,-1.46151e-06,45.776,0.128438,0,0,-5.30836e-05
62,-0.000137768,2.37495,0,48.3762,-1.77355e-06,45.776,0.128438,0,0,-0.000137768
63,-0.00117974,2.2597,0,39.1037,-1.80099e-06,45.776,0.128438,0,0,-0.00117974
64,-0.00594241,1.51187,0,22.7114,-4.17404e-06,45.776,0.128438,-5.27719e-30,0,-0.00594241
65,-3.98004e-05,2.65143,0,60.27,-1.21061e-06,45.776,0.128438,0,0,-3.98004e-05
66,-3.55162e-07,3.31553,0,129.235,-6.2051e-07,45.776,0.128438,0,0,-3.55162e-07
67,-6.6056e-07,3.22354,0,115.893,-6.99553e-07,45.776,0.128438,0,0,-6.6056e-07
68,-1.3054e-05,2.70414,0,72.5237,-1.14026e-06,45.776,0.128438,0,0,-1.3054e-05
69,-0.00222349,1.95501,0,31.8992,-3.00413e-06,45.776,0.128438,0,0,-0.00222349
70,-0.00147753,2.08426,0,40.1195,-2.02803e-06,45.776,0.128438,0,0,-0.00147753
71,-1.41742e-05,2.73389,0,69.3291,-1.18744e-06,45.776,0.128438,0,0,-1.41742e-05
72,-6.47108e-08,3.60192,0,168.395,-4.77733e-07,45.776,0.128438,0,0,-6.47108e-08
73,-2.52213e-07,3.39115,0,135.723,-5.94662e-07,45.776,0.128438,0,0,-2.52213e-07
74,-1.54923e-07,3.47261,0,146.336,-5.4898e-07,45.776,0.128438,0,0,-1.54923e-07
75,-4.65925e-06,2.96229,0,83.8718,-9.00926e-07,45.776,0.128438,0,0,-4.65925e-06
76,-3.85465e-06,2.94025,0,88.1217,-9.25053e-07,45.776,0.128438,0,0,-3.85465e-06
