rot 6.28
tra 0.1
temperature 0.5
total steps 500
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
0,-9.0295e-06,2.8114,0,76.1497,-2.17282e-05,45.776,0.128438,0,0,-9.0295e-06
1,-1.03987e-06,3.18522,0,106.629,-6.69219e-07,45.776,0.128438,0,0,-1.03987e-06
2,-3.56249e-09,4.08131,0,274.995,2.40736e-08,45.776,0.128438,0,0,-3.56249e-09
3,-1.39505e-07,3.46091,0,149.834,1.4283e-07,45.776,0.128438,0,0,-1.39505e-07
4,-7.04192e-06,2.84133,0,81.237,3.9813e-07,45.776,0.128438,0,0,-7.04192e-06
5,-0.00248001,1.94819,0,33.6088,3.88407e-06,45.776,0.128438,0,0,-0.00248001
6,-0.00134905,1.86702,0,30.8635,-3.35457e-06,45.776,0.128438,0,0,-0.00134905
7,-0.00462524,1.95899,0,28.7485,-1.58831e-06,45.776,0.128438,-1.15544e-38,0,-0.00462524
8,-1.53472e-05,2.68158,0,70.0746,-8.35299e-07,45.776,0.128438,0,0,-1.53472e-05
9,-1.7663e-06,3.06837,0,97.7033,-7.44457e-07,45.776,0.128438,0,0,-1.7663e-06
10,-3.49001e-07,3.31708,0,129.681,-3.79388e-07,45.776,0.128438,0,0,-3.49001e-07
11,-1.34805e-07,3.47153,0,151.194,-1.66215e-07,45.776,0.128438,0,0,-1.34805e-07
12,-6.6719e-07,3.1904,0,115.199,-3.75183e-08,45.776,0.128438,0,0,-6.6719e-07
13,-2.28215e-07,3.38697,0,139.408,2.6736e-07,45.776,0.128438,0,0,-2.28215e-07
14,-1.02421,0.3764,1.80527e-08,5.74789,-2.76933e-05,43.1394,0.124877,-0.301126,-0.377986,-1.02421
15,-0.000163751,2.27969,0,48.6944,-2.01776e-06,45.776,0.128438,0,0,-0.000163751
16,-1.60495,1.15425,0,17.1648,-6.37843e-06,40.7631,0.255416,-0.496387,0,-1.60495
17,-0.00145907,1.93812,0,35.5372,-2.30801e-06,45.776,0.128438,0,0,-0.00145907
18,-0.0002441,2.28617,0,44.7781,-1.83492e-06,45.776,0.128438,0,0,-0.0002441
19,-0.181817,1.27164,0,16.1729,-5.63744e-06,37.5558,0.133654,-0.0015985,0,-0.181817
20,-5.46593e-06,2.88985,0,80.8603,-1.00515e-06,45.776,0.128438,0,0,-5.46593e-06
21,-0.452219,1.37548,0,19.3587,-4.0234e-06,42.2724,0.185365,-0.110033,0,-0.452219
22,-9.41238e-05,2.41236,0,54.162,-1.34107e-06,45.776,0.128438,0,0,-9.41238e-05
23,-0.523001,1.69945,0,20.1681,-3.22512e-06,42.4514,0.742292,-0.124787,0,-0.523001
