rot 6.28
tra 0.1
temperature 0.5
total steps 1000
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
0,-0.000376071,2.11727,0,38.9677,-2.60878e-05,45.776,0.128438,0,0,-0.000376071
1,-1.55018,0.555193,6.78588e-07,6.64352,1.60474e-05,41.5671,3.43147,-0.287966,-0.223412,-1.55018
2,-4.73052e-06,2.91485,0,82.9738,-2.12913e-06,45.776,0.128438,0,0,-4.73052e-06
3,-6.44929e-06,2.91269,0,79.6398,-1.55408e-06,45.776,0.128438,0,0,-6.44929e-06
4,-0.000102364,2.45392,0,50.633,-3.29932e-06,45.776,0.128438,0,0,-0.000102364
5,-3.30555e-05,2.6662,0,61.778,-2.45986e-06,45.776,0.128438,0,0,-3.30555e-05
6,-6.08107e-05,2.48184,0,54.0743,-4.80947e-06,45.776,0.128438,0,0,-6.08107e-05
7,-0.00563445,1.84232,0,29.9685,-1.74072e-05,45.776,0.128438,-1.27419e-33,0,-0.00563445
8,-3.12146e-06,2.97207,0,89.171,-2.15877e-06,45.776,0.128438,0,0,-3.12146e-06
9,-2.92346e-05,2.69776,0,63.2768,-2.11347e-06,45.776,0.128438,0,0,-2.92346e-05
10,-3.13356e-06,2.9569,0,88.8285,-2.24536e-06,45.776,0.128438,0,0,-3.13356e-06
11,-5.22964e-05,2.49845,0,57.7163,-3.63168e-06,45.776,0.128438,0,0,-5.22964e-05
12,-7.0971e-05,2.46372,0,52.4592,-6.03662e-06,45.776,0.128438,0,0,-7.0971e-05
13,-5.80912e-05,2.49323,0,56.2868,-5.14666e-06,45.776,0.128438,0,0,-5.80912e-05
14,-2.24414e-05,2.73873,0,66.1751,-2.4563e-06,45.776,0.128438,0,0,-2.24414e-05
15,-1.09227e-07,3.54526,0,154.149,-6.81208e-07,45.776,0.128438,0,0,-1.09227e-07
16,-2.63963e-08,3.78101,0,196.141,-4.66801e-07,45.776,0.128438,0,0,-2.63963e-08
17,-0.137206,1.36556,0,19.7871,2.53347e-05,39.2115,0.127373,-0.000244463,0,-0.137206
18,-0.160161,0.921342,2.64625e-28,8.96732,-1.51365e-06,44.973,0.126405,-1.00353e-06,0,-0.160161
19,-8.37051e-06,2.80293,0,75.691,-1.08964e-06,45.776,0.128438,0,0,-8.37051e-06
20,-1.4782e-05,2.67226,0,69.7915,-1.24535e-06,45.776,0.128438,0,0,-1.4782e-05
21,-0.00497416,1.38382,0,15.5299,-3.86998e-06,45.776,0.128438,-0,0,-0.00497416
22,-3.05291e-06,2.95266,0,91.7052,-8.8427e-07,45.776,0.128438,0,0,-3.05291e-06
23,-0.560048,1.64554,0,21.4963,-8.7536e-06,40.4479,0.571941,-0.0711666,0,-0.560048
