rot 6.28
tra 0.1
temperature 0.5
total steps 5000
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
0,-8.47148e-05,2.47022,0,51.2539,-4.82761e-06,45.776,0.128438,0,0,-8.47148e-05
1,-0.000426224,2.19086,0,44.5585,-1.73009e-05,45.776,0.128438,0,0,-0.000426224
2,-5.53217e-06,2.86361,0,83.9263,3.16301e-06,45.776,0.128438,0,0,-5.53217e-06
3,-1.96626e-05,2.69585,0,65.2431,-5.30165e-06,45.776,0.128438,0,0,-1.96626e-05
4,-0.000150223,2.37687,0,47.1428,-2.55882e-05,45.776,0.128438,0,0,-0.000150223
5,-9.71306e-05,2.45878,0,51.6125,-2.51924e-05,45.776,0.128438,0,0,-9.71306e-05
6,-9.44445e-07,3.21038,0,108.749,7.60834e-07,45.776,0.128438,0,0,-9.44445e-07
7,-7.05345e-08,3.61332,0,165.707,-4.35515e-07,45.776,0.128438,0,0,-7.05345e-08
8,-4.15604e-09,4.06669,0,265.935,-6.87849e-07,45.776,0.128438,0,0,-4.15604e-09
9,-5.53259e-07,3.22098,0,118.65,1.06723e-07,45.776,0.128438,0,0,-5.53259e-07
10,-7.5809e-06,2.81019,0,73.0288,-5.987e-07,45.776,0.128438,0,0,-7.5809e-06
11,-3.88352e-06,3.02681,0,91.5929,-4.65069e-07,45.776,0.128438,0,0,-3.88352e-06
12,-2.03237e-08,3.78961,0,206.534,-1.9584e-07,45.776,0.128438,0,0,-2.03237e-08
13,-6.153e-08,3.60298,0,171.743,-1.8652e-07,45.776,0.128438,0,0,-6.153e-08
14,-2.34404e-08,3.79974,0,199.819,-9.04881e-08,45.776,0.128438,0,0,-2.34404e-08
15,-8.23797e-07,3.1893,0,111.548,-6.44575e-07,45.776,0.128438,0,0,-8.23797e-07
16,-0.578985,1.14353,2.75494e-39,11.9036,-5.07422e-05,32.9265,0.631039,-0.131139,0,-0.578985
17,-4.66424e-06,2.95225,0,83.353,-1.95168e-06,45.776,0.128438,0,0,-4.66424e-06
18,-0.000604369,1.89673,0,29.033,-2.51324e-06,45.776,0.128438,0,0,-0.000604369
19,-3.67933e-05,2.69762,0,65.4834,-1.2284e-06,45.776,0.128438,0,0,-3.67933e-05
20,-5.5485e-07,3.22369,0,115.04,-7.10998e-07,45.776,0.128438,0,0,-5.5485e-07
21,-3.01822e-07,3.36999,0,131.147,-6.09044e-07,45.776,0.128438,0,0,-3.01822e-07
22,-1.9762e-09,4.19197,0,301.333,-2.6468e-07,45.776,0.128438,0,0,-1.9762e-09
23,-2.67625e-08,3.75757,0,196.133,-3.9899e-07,45.776,0.128438,0,0,-2.67625e-08
24,-4.56028e-06,2.88844,0,83.6326,-1.00081e-06,45.776,0.128438,0,0,-4.56028e-06
25,-8.68963e-05,2.52284,0,52.7427,-1.40137e-06,45.776,0.128438,0,0,-8.68963e-05
26,-1.60888e-06,3.0707,0,102.661,-7.92379e-07,45.776,0.128438,0,0,-1.60888e-06
27,-1.29374e-05,2.69508,0,70.9328,-1.19099e-06,45.776,0.128438,0,0,-1.29374e-05
28,-1.93829,1.16879,0,14.454,-5.64584e-06,46.5022,5.41234,-0.309258,0,-1.93829
29,-6.45493e-06,2.85746,0,78.4283,-1.04541e-06,45.776,0.128438,0,0,-6.45493e-06
30,-2.88498e-05,2.63101,0,62.912,-1.30661e-06,45.776,0.128438,0,0,-2.88498e-05
31,-6.35789e-05,2.45023,0,57.1897,-1.46513e-06,45.776,0.128438,0,0,-6.35789e-05
