rot 6.28
tra 0.1
temperature 0.5
total steps 8000
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
59,-5.22186e-13,5.5585,0,1190.59,-6.52951e-08,45.776,0.128438,0,0,-5.22186e-13
60,-2.69239e-13,5.67401,0,1327.13,-5.94931e-08,45.776,0.128438,0,0,-2.69239e-13
61,-1.45713e-14,6.15612,0,2160.7,-3.71547e-08,45.776,0.128438,0,0,-1.45713e-14
62,-9.30144e-16,6.61526,0,3417.25,-2.32325e-08,45.776,0.128438,0,0,-9.30144e-16
63,-9.43335e-16,6.61481,0,3406.99,-2.32727e-08,45.776,0.128438,0,0,-9.43335e-16
64,-6.9757e-07,3.23272,0,114.034,-7.01329e-07,45.776,0.128438,0,0,-6.9757e-07
65,-2.07861e-06,3.01258,0,97.2923,-8.37011e-07,45.776,0.128438,0,0,-2.07861e-06
66,-3.24707e-05,2.54219,0,62.2755,-1.34116e-06,45.776,0.128438,0,0,-3.24707e-05
67,-0.956744,1.17426,0,16.0756,-3.81918e-06,45.653,0.388258,-0.497816,0,-0.956744
68,-3.5307e-06,2.93924,0,87.2053,-9.48045e-07,45.776,0.128438,0,0,-3.5307e-06
69,-0.000170452,2.30519,0,49.7967,-1.62019e-06,45.776,0.128438,0,0,-0.000170452
70,-1.995e-05,2.67412,0,66.8334,-1.22768e-06,45.776,0.128438,0,0,-1.995e-05
71,-0.0356285,1.54975,0,25.0071,-2.73417e-06,45.5183,0.128398,-6.51778e-08,0,-0.0356285
72,-0.000806666,2.09296,0,35.1033,-2.38377e-06,45.776,0.128438,0,0,-0.000806666
73,-1.79408e-06,3.05337,0,97.5708,-8.34441e-07,45.776,0.128438,0,0,-1.79408e-06
74,-1.36562e-05,2.71073,0,68.2416,-1.20462e-06,45.776,0.128438,0,0,-1.36562e-05
75,-7.85435e-05,2.47144,0,58.1462,-1.4252e-06,45.776,0.128438,0,0,-7.85435e-05
76,-0.00402959,1.82097,0,30.2863,-3.60786e-06,45.7755,0.128438,-2.79359e-28,0,-0.00402959
77,-0.0017062,1.98725,0,35.2167,-2.36889e-06,45.776,0.128438,0,0,-0.0017062
78,-4.56025e-07,3.29557,0,122.128,-6.42893e-07,45.776,0.128438,0,0,-4.56025e-07
79,-3.4719e-05,2.65344,0,60.42,-1.22832e-06,45.776,0.128438,0,0,-3.4719e-05
80,-0.000183486,2.20671,0,44.0226,-2.07512e-06,45.776,0.128438,0,0,-0.000183486
81,-0.457134,0.799508,9.58171e-11,9.07966,-9.7953e-06,29.809,0.455545,-0.106477,0,-0.457134
82,-0.00953807,1.83024,0,31.3428,-3.42965e-06,45.7497,0.128438,-3.7329e-24,0,-0.00953807
83,-0.00131466,1.9331,0,34.8568,-2.88881e-06,45.776,0.128438,0,0,-0.00131466
84,-0.00261781,2.0292,0,31.3722,-2.55856e-06,45.776,0.128438,0,0,-0.00261781
85,-0.00786731,1.87558,0,33.4741,-2.73136e-06,45.7759,0.128438,-1.31478e-29,0,-0.00786731
86,-0.000373832,2.21537,0,41.8112,-2.02666e-06,45.776,0.128438,0,0,-0.000373832
87,-1.31719e-05,2.77992,0,69.5791,-1.11572e-06,45.776,0.128438,0,0,-1.31719e-05
88,-0.254946,1.77449,0,26.8624,-2.37539e-06,36.1222,0.131741,-0.00304073,0,-0.254946
89,-4.82549e-06,2.86076,0,82.0129,-9.98469e-07,45.776,0.128438,0,0,-4.82549e-06
90,-0.00832372,1.78913,0,24.1657,-3.49378e-06,45.776,0.128438,-1.00125e-34,0,-0.00832372
91,-0.108196,1.76943,0,29.741,-2.91694e-06,42.9877,0.126499,-9.14872e-06,0,-0.108196
92,-0.000161489,2.3005,0,47.4566,-1.92857e-06,45.776,0.128438,0,0,-0.000161489
93,-0.134224,1.50209,0,24.3316,-2.33621e-06,42.9627,0.182317,-0.022046,0,-0.134224
94,-2.50549,1.25642,0,14.7974,-5.59096e-06,44.1127,5.34489,-0.336272,0,-2.50549
95,-3.64068e-06,2.98381,0,86.4409,-8.92555e-07,45.776,0.128438,0,0,-3.64068e-06
96,-2.20928e-05,2.62651,0,65.8955,-1.32105e-06,45.776,0.128438,0,0,-2.20928e-05
97,-1.18296e-05,2.81442,0,71.6685,-1.05215e-06,45.776,0.128438,0,0,-1.18296e-05
98,-2.26748e-05,2.64409,0,68.0072,-1.19751e-06,45.776,0.128438,0,0,-2.26748e-05
99,-0.00116771,2.13542,0,37.8271,-2.42456e-06,45.776,0.128438,0,0,-0.00116771
100,-6.32885e-06,2.85748,0,80.5482,-1.01113e-06,45.776,0.128438,0,0,-6.32885e-06
101,-2.63856,1.21399,0,13.5613,-5.60193e-06,42.6655,1.65295,-0.564838,0,-2.63856
102,-0.0240607,1.35375,0,20.9223,-4.78975e-06,43.8465,0.128438,-7.05812e-18,0,-0.0240607
103,-5.6196e-06,2.88186,0,80.4374,-1.01534e-06,45.776,0.128438,0,0,-5.6196e-06
104,-0.0092579,1.62363,0,20.6376,-3.57826e-06,45.7759,0.128438,-8.63917e-33,0,-0.0092579
105,-0.0143061,1.50968,0,23.8334,-4.4576e-06,43.3741,0.128438,-4.52438e-20,0,-0.0143061
106,-0.00014899,2.32162,0,50.6464,-1.70379e-06,45.776,0.128438,0,0,-0.00014899
107,-9.29645e-06,2.75854,0,75.7966,-1.11809e-06,45.776,0.128438,0,0,-9.29645e-06
108,-0.000317763,2.22181,0,40.6619,-2.01533e-06,45.776,0.128438,0,0,-0.000317763
109,-0.0124511,1.81761,0,26.4048,-3.49324e-06,45.7704,0.128438,-1.93105e-21,0,-0.0124511
110,-9.67808e-05,2.51322,0,52.7105,-1.43189e-06,45.776,0.128438,0,0,-9.67808e-05
111,-4.14597e-06,2.93422,0,84.7577,-9.57465e-07,45.776,0.128438,0,0,-4.14597e-06
112,-4.23493e-06,2.8878,0,85.5859,-9.71236e-07,45.776,0.128438,0,0,-4.23493e-06
113,-1.36578e-05,2.70052,0,69.5876,-1.22912e-06,45.776,0.128438,0,0,-1.36578e-05
114,-0.177723,1.57326,0,21.7923,-5.18336e-06,34.2099,0.129188,-0.00226055,0,-0.177723
115,-0.112386,1.35171,0,12.9096,-5.83244e-06,40.9547,0.17255,-0.0131649,0,-0.112386
116,-0.0423443,1.40145,0,18.9585,-5.11148e-06,42.5669,0.128207,-1.21593e-07,0,-0.0423443
117,-0.0218634,1.54588,0,22.0807,-3.64433e-06,43.8363,0.128438,-1.83978e-11,0,-0.0218634
118,-7.16561e-06,2.80959,0,80.0688,-9.6861e-07,45.776,0.128438,0,0,-7.16561e-06
119,-3.83779e-05,2.54159,0,59.7351,-1.47516e-06,45.776,0.128438,0,0,-3.83779e-05
120,-0.000122344,2.39235,0,50.1111,-1.76475e-06,45.776,0.128438,0,0,-0.000122344
121,-6.50142e-06,2.90179,0,79.3647,-9.48198e-07,45.776,0.128438,0,0,-6.50142e-06
122,-3.83753e-05,2.58813,0,57.8444,-1.39457e-06,45.776,0.128438,0,0,-3.83753e-05
123,-0.00470808,1.69997,0,28.7071,-3.15663e-06,45.776,0.128438,-1.50051e-29,0,-0.00470808
124,-0.0694585,1.67393,0,19.6318,-3.42234e-06,41.7742,0.127091,-1.55196e-08,0,-0.0694585
125,-5.84368e-06,2.84525,0,82.8911,-9.58894e-07,45.776,0.128438,0,0,-5.84368e-06
126,-0.000275625,2.26331,0,47.9354,-1.67653e-06,45.776,0.128438,0,0,-0.000275625
127,-0.0364347,1.47616,0,22.042,-5.13584e-06,42.3825,0.128438,-6.85633e-10,0,-0.0364347
128,-1.76901e-05,2.67343,0,69.1986,-1.18819e-06,45.776,0.128438,0,0,-1.76901e-05
