rot 6.28
tra 0.1
temperature 0.5
total steps 12000
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
0,-1.44928,1.17634,0,17.4453,0.00134395,33.6686,2.67063,-0.361877,0.0552919,-1.44928
1,-0.000148784,2.32808,0,51.1398,-6.23849e-06,45.776,0.128438,0,0,-0.000148784
2,-0.0961926,1.65696,0,28.0696,-4.3411e-05,44.1716,0.119232,-0.00281711,0,-0.0961926
3,-0.000142969,2.35743,0,48.9599,8.68197e-06,45.776,0.128438,0,0,-0.000142969
4,-0.000142459,2.38338,0,47.6258,7.98328e-06,45.776,0.128438,0,0,-0.000142459
5,-6.25899e-05,2.51194,0,53.5365,1.00821e-05,45.776,0.128438,0,0,-6.25899e-05
6,-0.103061,1.88988,0,25.5032,4.99045e-06,44.2225,0.128068,-8.99762e-05,0,-0.103061
7,-0.000312067,2.1832,0,44.7618,-5.10716e-06,45.776,0.128438,0,0,-0.000312067
8,-0.000115002,2.51545,0,52.0529,-3.87476e-06,45.776,0.128438,0,0,-0.000115002
9,-0.000102716,2.37568,0,53.3592,-5.55326e-06,45.776,0.128438,0,0,-0.000102716
10,-3.60999e-05,2.54104,0,62.2378,-4.79975e-06,45.776,0.128438,0,0,-3.60999e-05
11,-0.00390715,1.85425,0,31.6841,2.54159e-05,45.7611,0.128438,-1.93607e-25,0,-0.00390715
12,-0.000783259,2.13528,0,38.436,2.02304e-05,45.776,0.128438,0,0,-0.000783259
13,-0.000453942,2.18062,0,44.4223,-6.34786e-06,45.776,0.128438,0,0,-0.000453942
14,-6.12414e-05,2.45976,0,57.6253,-5.18168e-06,45.776,0.128438,0,0,-6.12414e-05
15,-0.00424189,1.98883,0,29.6036,-1.86873e-05,45.776,0.128438,-1.68688e-34,0,-0.00424189
16,-0.0693562,1.43388,0,21.1635,0.00021485,41.7937,0.141784,-1.39967e-06,0,-0.0693562
17,-1.41165,1.12454,8.60785e-28,9.8365,-0.00106816,39.7853,3.13675,-0.406338,-0.0528137,-1.41165
18,-5.98158e-06,2.91944,0,80.1079,-1.0804e-06,45.776,0.128438,0,0,-5.98158e-06
19,-1.39692,1.01139,1.13722e-19,7.11623,0.000623538,36.996,0.627453,-0.27989,0.13266,-1.39692
20,-2.01271e-05,2.64245,0,66.5699,1.7704e-07,45.776,0.128438,0,0,-2.01271e-05
21,-0.00497861,1.89927,0,29.9374,-1.26155e-05,45.775,0.128438,-4.80627e-27,0,-0.00497861
22,-6.45301e-05,2.43187,0,53.6694,2.24778e-06,45.776,0.128438,0,0,-6.45301e-05
23,-5.14594e-06,2.86848,0,84.507,-1.01825e-06,45.776,0.128438,0,0,-5.14594e-06
24,-2.52358e-05,2.59355,0,63.9205,-1.37711e-06,45.776,0.128438,0,0,-2.52358e-05
25,-3.93519e-05,2.53251,0,61.8163,2.06606e-06,45.776,0.128438,0,0,-3.93519e-05
26,-0.00092691,2.09697,0,38.1073,5.93298e-05,45.776,0.128438,0,0,-0.00092691
27,-2.98293e-05,2.54523,0,62.1589,1.03963e-06,45.776,0.128438,0,0,-2.98293e-05
28,-5.37094e-06,2.92359,0,81.1473,-9.82807e-07,45.776,0.128438,0,0,-5.37094e-06
29,-1.34778e-05,2.70036,0,69.676,-6.34963e-07,45.776,0.128438,0,0,-1.34778e-05
30,-4.29779e-05,2.64632,0,59.8896,-1.87918e-07,45.776,0.128438,0,0,-4.29779e-05
31,-6.8527e-06,2.81099,0,78.9905,-1.02973e-06,45.776,0.128438,0,0,-6.8527e-06
32,-1.79325e-05,2.68697,0,65.5571,1.9232e-06,45.776,0.128438,0,0,-1.79325e-05
