rot 6.28
tra 0.1
temperature 0.5
total steps 200
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
0,-1.11018e-05,2.74496,0,74.6755,1.56007e-06,45.776,0.128438,0,0,-1.11018e-05
1,-1.07629e-05,2.7413,0,74.7105,4.1828e-06,45.776,0.128438,0,0,-1.07629e-05
2,-0.015636,0.98482,1.82169e-44,11.902,0.000165528,45.3694,0.128438,-5.95253e-20,0,-0.015636
3,-0.000179313,2.31962,0,48.0316,-4.28102e-05,45.776,0.128438,0,0,-0.000179313
4,-9.08015e-06,2.81515,0,76.8932,-2.20884e-05,45.776,0.128438,0,0,-9.08015e-06
5,-1.33502e-05,2.68459,0,70.9966,-1.1407e-05,45.776,0.128438,0,0,-1.33502e-05
6,-0.000958408,1.98334,0,30.6326,2.5095e-05,45.776,0.128438,0,0,-0.000958408
7,-0.000190898,2.04299,0,35.3522,5.5348e-05,45.776,0.128438,0,0,-0.000190898
8,-1.47656e-06,3.12488,0,99.5371,-2.35609e-07,45.776,0.128438,0,0,-1.47656e-06
9,-2.4449e-07,3.35289,0,134.789,6.8519e-08,45.776,0.128438,0,0,-2.4449e-07
10,-1.32586e-05,2.85913,0,80.0771,5.7353e-06,45.776,0.128438,0,0,-1.32586e-05
11,-4.59393e-07,3.21722,0,112.991,5.07467e-06,45.776,0.128438,0,0,-4.59393e-07
12,-6.61591e-08,3.53055,0,158.057,5.09251e-06,45.776,0.128438,0,0,-6.61591e-08
13,-2.20036e-09,4.12064,0,286.892,2.8015e-06,45.776,0.128438,0,0,-2.20036e-09
14,-6.51106e-10,4.33254,0,353.772,2.06967e-06,45.776,0.128438,0,0,-6.51106e-10
15,-2.30441e-11,4.93212,0,649.061,1.1918e-06,45.776,0.128438,0,0,-2.30441e-11
16,-2.8563e-12,5.27555,0,914.657,8.71174e-07,45.776,0.128438,0,0,-2.8563e-12
17,-5.13108e-08,3.60883,0,169.988,9.57736e-07,45.776,0.128438,0,0,-5.13108e-08
18,-0.000945975,2.31041,0,47.0934,2.51476e-06,45.776,0.128438,0,0,-0.000945975
19,-0.000118376,2.23734,0,43.2575,6.42216e-06,45.776,0.128438,0,0,-0.000118376
20,-5.7885e-05,2.34463,0,51.1762,2.81868e-06,45.776,0.128438,0,0,-5.7885e-05
21,-6.26704e-05,2.65665,0,65.9909,4.1682e-06,45.776,0.128438,0,0,-6.26704e-05
22,-5.47326e-07,3.1417,0,108.276,4.67406e-06,45.776,0.128438,0,0,-5.47326e-07
23,-0.0101229,1.38263,0,20.0161,5.62606e-06,45.6324,0.128438,-1.89032e-22,0,-0.0101229
24,-3.15132e-05,2.48828,0,54.0947,8.55442e-07,45.776,0.128438,0,0,-3.15132e-05
25,-7.92579e-08,3.57411,0,163.071,-4.81719e-07,45.776,0.128438,0,0,-7.92579e-08
26,-4.71406e-07,3.3089,0,121.322,-6.33443e-07,45.776,0.128438,0,0,-4.71406e-07
27,-6.01771e-09,4.01854,0,249.928,-3.12416e-07,45.776,0.128438,0,0,-6.01771e-09
28,-1.83981e-05,2.63427,0,65.5451,-1.31122e-06,45.776,0.128438,0,0,-1.83981e-05
